host_iso,host_ns,line
2026-07-16T19:03:59.123299+00:00,6146066708,"CSI,A1,4629,fe:e3:be:47:e1:f0,-50,0,4,576634703,64,70,1,23,18,16,13,15,17,19,22,23,24,23,23,21,21,18,14,11,9,5,6,6,8,10,11,13,0,0,0,0,0,0,0,0,0,0,0,6,8,10,13,15,17,18,20,20,20,19,18,15,13,11,12,14,18,21,25,29,32,35,35,35,35"
2026-07-16T19:03:59.127786+00:00,6150547875,"CSI,A1,4630,fe:e3:be:47:e1:f0,-50,0,4,576634866,64,70,1,25,20,17,15,17,20,22,24,26,26,27,25,24,23,19,14,11,8,6,6,8,10,12,13,14,0,0,0,0,0,0,0,0,0,0,0,6,8,11,14,15,18,19,21,22,23,23,21,17,15,13,14,14,18,23,28,33,35,38,40,39,39"
2026-07-16T19:03:59.132402+00:00,6155161166,"CSI,A1,4631,fe:e3:be:47:e1:f0,-50,0,4,576635785,64,70,1,25,19,19,15,17,18,22,24,27,27,27,27,24,25,21,18,15,12,8,7,6,9,11,13,13,0,0,0,0,0,0,0,0,0,0,0,8,9,13,13,17,17,19,20,20,20,19,17,14,12,11,13,15,20,23,29,32,35,40,39,38,37"
2026-07-16T19:04:01.173217+00:00,8195675333,"CSI,A1,4632,fe:e3:be:47:e1:f0,-50,0,4,578687383,64,117,5,26,22,18,17,18,20,22,24,25,26,27,26,25,22,19,17,12,9,7,7,7,9,10,13,14,0,0,0,0,0,0,0,0,0,0,0,8,10,13,14,16,18,18,20,21,21,19,17,16,14,13,14,17,21,24,29,33,35,37,39,39,37"
2026-07-16T19:04:01.767603+00:00,8790012250,"STAT,A1,579397,9988,4632,4632,0,215172"
2026-07-16T19:04:02.423582+00:00,9445878958,"CSI,A1,4633,fe:e3:be:47:e1:f0,-50,0,4,579934751,64,70,1,34,35,33,33,31,28,25,21,17,14,13,12,13,13,15,16,17,17,17,16,16,15,13,11,9,0,0,0,0,0,0,0,0,0,0,0,14,13,13,11,8,8,7,9,11,14,18,21,23,25,27,27,27,26,25,22,20,18,16,18,21,26"
2026-07-16T19:04:02.452835+00:00,9475125750,"CSI,A1,4634,fe:e3:be:47:e1:f0,-50,0,4,579967008,64,70,1,25,19,18,16,18,20,22,27,28,28,28,27,25,25,21,18,15,11,8,8,6,8,10,12,14,0,0,0,0,0,0,0,0,0,0,0,10,13,14,15,17,19,19,20,20,18,17,15,13,11,11,16,19,23,26,31,35,37,40,39,38,38"
2026-07-16T19:04:02.525806+00:00,9548117125,"CSI,A1,4635,fe:e3:be:47:e1:f0,-50,0,4,580040348,64,117,5,28,24,21,17,16,17,20,24,26,28,28,28,27,26,23,19,16,13,9,7,6,7,9,13,14,0,0,0,0,0,0,0,0,0,0,0,9,11,13,14,15,18,18,20,20,19,20,17,17,14,14,15,17,21,23,27,31,34,37,39,39,40"
2026-07-16T19:04:03.161320+00:00,10183526875,"CSI,A1,4636,fe:e3:be:47:e1:f0,-50,0,4,580675730,64,117,5,24,20,18,18,18,21,22,25,26,27,26,25,23,21,19,16,12,9,8,8,7,9,10,13,14,0,0,0,0,0,0,0,0,0,0,0,10,12,13,16,17,18,18,19,19,18,17,16,13,13,13,16,19,23,25,29,33,34,36,37,37,34"
2026-07-16T19:04:03.509219+00:00,10531400083,"CSI,A1,4637,fe:e3:be:47:e1:f0,-50,0,4,581022270,64,117,5,23,20,20,19,21,23,25,26,27,28,28,27,25,24,21,17,14,12,9,9,9,10,12,13,14,0,0,0,0,0,0,0,0,0,0,0,11,13,15,16,17,18,18,19,19,18,16,15,13,13,14,16,20,24,28,32,35,37,38,39,37,37"
