host_iso,host_ns,line
2026-07-16T19:03:53.115914+00:00,139990500,"CSI,A2,1912,fe:e3:be:47:e1:f0,-31,0,4,221806194,64,70,1,38,34,29,26,21,21,20,21,22,24,25,27,26,25,24,23,19,17,15,12,11,10,10,11,11,0,0,0,0,0,0,0,0,0,0,0,9,10,10,12,14,17,18,21,23,24,26,26,25,24,22,20,18,19,20,23,28,32,35,38,43,44"
2026-07-16T19:03:53.120435+00:00,144314375,"CSI,A2,1913,fe:e3:be:47:e1:f0,-31,0,4,221806353,64,70,1,21,19,15,13,11,11,11,11,12,14,14,15,14,14,13,11,10,8,6,5,5,5,5,6,7,0,0,0,0,0,0,0,0,0,0,0,6,6,6,5,6,7,9,11,13,13,14,15,15,14,13,12,11,10,11,13,14,17,19,21,24,24"
2026-07-16T19:03:53.871490+00:00,895206750,"CSI,A2,1914,fe:e3:be:47:e1:f0,-30,0,4,222555761,64,117,5,24,21,19,16,13,12,11,12,13,14,16,17,17,16,16,15,13,11,9,8,7,5,5,6,7,0,0,0,0,0,0,0,0,0,0,0,5,4,5,6,7,9,10,12,14,15,16,16,16,15,14,12,11,10,11,13,15,18,21,23,27,28"
2026-07-16T19:03:54.463322+00:00,1486939083,"STAT,A2,223258,2662,1914,1914,0,215328"
2026-07-16T19:03:55.264700+00:00,2288128000,"CSI,A2,1915,fe:e3:be:47:e1:f0,-30,0,4,223949469,64,117,5,24,22,20,17,15,13,11,11,12,13,13,14,15,15,15,14,13,11,10,9,7,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,7,8,9,10,12,14,15,16,17,16,16,15,14,13,13,13,13,15,17,20,22,24,26"
2026-07-16T19:03:56.336544+00:00,3359795083,"CSI,A2,1916,fe:e3:be:47:e1:f0,-30,0,4,225021950,64,70,1,17,14,13,12,13,15,16,17,17,18,17,16,15,14,12,10,8,7,5,5,6,7,8,9,9,0,0,0,0,0,0,0,0,0,0,0,5,6,8,8,9,11,11,12,13,13,12,12,10,9,9,10,11,14,16,18,20,22,23,24,24,24"
2026-07-16T19:03:56.476746+00:00,3499968833,"CSI,A2,1917,fe:e3:be:47:e1:f0,-26,0,4,225162496,64,70,1,25,21,19,19,20,21,23,25,26,26,25,25,23,21,18,16,12,10,8,9,9,10,12,12,13,0,0,0,0,0,0,0,0,0,0,0,8,10,11,13,14,15,16,17,17,17,17,16,15,13,13,14,17,21,24,27,30,33,34,35,36,35"
2026-07-16T19:03:56.481113+00:00,3504303750,"CSI,A2,1918,fe:e3:be:47:e1:f0,-30,0,4,225162654,64,70,1,17,15,13,13,14,14,15,16,17,17,17,17,16,14,13,11,9,7,6,5,5,6,7,8,9,0,0,0,0,0,0,0,0,0,0,0,6,7,8,10,11,11,12,13,14,14,13,12,11,11,10,11,12,14,17,19,21,23,25,26,25,25"
2026-07-16T19:03:56.575034+00:00,3598214416,"CSI,A2,1919,fe:e3:be:47:e1:f0,-30,0,4,225260419,64,117,5,28,23,22,20,22,23,25,27,28,29,28,27,26,24,22,18,14,12,9,10,10,11,12,13,14,0,0,0,0,0,0,0,0,0,0,0,11,13,14,16,18,18,20,20,20,21,20,19,17,16,16,18,21,23,26,30,33,36,39,39,40,38"
2026-07-16T19:03:57.381014+00:00,4404077083,"CSI,A2,1920,fe:e3:be:47:e1:f0,-30,0,4,226067559,64,70,1,25,22,20,17,14,13,11,11,12,13,13,14,16,16,16,14,14,12,10,9,8,6,6,5,6,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,7,9,9,11,13,14,15,15,15,15,14,12,11,11,11,12,14,17,19,22,24,26"
